type,test_file,hash_test_creation,test_creation_time,test_commit_files,test_commit_lines,impl_file,hash_impl_creation,impl_creation_time,impl_commit_files,impl_commit_lines
after,GridSpiTest.java,ec635b53fa9b64b8367ae443ac556645789bb38a,2014-03-05 13:33:14+04:00,26,6572,GridSpi.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridClientByteUtilsTest.java,d5bc3fda1b5efa6f7078e3fdac1e6729b0abadb1,2014-03-06 16:24:39+04:00,219,20453,GridClientByteUtils.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridRestProcessorTest.java,d5bc3fda1b5efa6f7078e3fdac1e6729b0abadb1,2014-03-06 16:24:39+04:00,219,20453,GridRestProcessor.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridExecutorServiceTest.java,edc21e9b122f7d6be2fd3fa8498c9c3f2b154020,2014-03-07 16:27:38+04:00,1407,304024,GridExecutorService.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridCacheConcurrentMapTest.java,edc21e9b122f7d6be2fd3fa8498c9c3f2b154020,2014-03-07 16:27:38+04:00,1407,304024,GridCacheConcurrentMap.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridCacheDgcManagerTest.java,edc21e9b122f7d6be2fd3fa8498c9c3f2b154020,2014-03-07 16:27:38+04:00,1407,304024,GridCacheDgcManager.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridWebSessionTest.java,edc21e9b122f7d6be2fd3fa8498c9c3f2b154020,2014-03-07 16:27:38+04:00,1407,304024,GridWebSession.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridJavaLoggerTest.java,edc21e9b122f7d6be2fd3fa8498c9c3f2b154020,2014-03-07 16:27:38+04:00,1407,304024,GridJavaLogger.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridJclLoggerTest.java,edc21e9b122f7d6be2fd3fa8498c9c3f2b154020,2014-03-07 16:27:38+04:00,1407,304024,GridJclLogger.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridOptimizedMarshallerTest.java,edc21e9b122f7d6be2fd3fa8498c9c3f2b154020,2014-03-07 16:27:38+04:00,1407,304024,GridOptimizedMarshaller.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridThreadTest.java,edc21e9b122f7d6be2fd3fa8498c9c3f2b154020,2014-03-07 16:27:38+04:00,1407,304024,GridThread.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
after,GridLogThrottleTest.java,edc21e9b122f7d6be2fd3fa8498c9c3f2b154020,2014-03-07 16:27:38+04:00,1407,304024,GridLogThrottle.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
before,FileIOTest.java,edc21e9b122f7d6be2fd3fa8498c9c3f2b154020,2014-03-07 16:27:38+04:00,1407,304024,FileIO.java,17d881ba0122a7f90cac9846c376300a1d001bdd,2017-07-10 13:57:51+03:00,21,1089
same,GridSpringCacheTest.java,afbf27240ef37208d134f85e50928d9e1eae2aac,2014-09-04 21:14:10-07:00,7,519,GridSpringCache.java,afbf27240ef37208d134f85e50928d9e1eae2aac,2014-09-04 21:14:10-07:00,7,519
same,GridHadoopClassLoaderTest.java,3a6887e37949af76cc3dda7031efbac99b212a4b,2014-09-10 15:07:30+04:00,19,588,GridHadoopClassLoader.java,3a6887e37949af76cc3dda7031efbac99b212a4b,2014-09-10 15:07:30+04:00,19,588
after,GridHadoopExecutorServiceTest.java,fa23bed155e42b13e2b1a53e0036f38ecc421b42,2014-09-10 18:53:54+04:00,2,165,GridHadoopExecutorService.java,440354644ec02f462b726c5eec2ab31abf15b620,2014-09-09 20:59:19+04:00,5,285
after,IgniteCacheTest.java,f0773f5dc9d163921d9ce1f55378e202974b6f53,2014-12-10 16:45:34+03:00,8,759,IgniteCache.java,a4f69c40605b4a4f36e62ef899d19a6392dca8ae,2014-12-10 14:31:47+03:00,20,1462
same,IgniteFutureImplTest.java,52440dfb7b66e02c79b1662ae32134917e0a2a1a,2015-01-29 14:21:20+03:00,133,1869,IgniteFutureImpl.java,52440dfb7b66e02c79b1662ae32134917e0a2a1a,2015-01-29 14:21:20+03:00,133,1869
after,SpatialIndexInitiatorTest.java,e6c21ab936349746e70097bc9afe4024d152d9e5,2015-01-30 14:34:47+03:00,1,36,SpatialIndexInitiator.java,2dec97c94d271bdd1965211ab81f055235b150da,2015-01-30 12:46:07+03:00,4,60
before,TestNodeFilter.java,36cfb495644954e7580f83ce9230f4583fbf2fa5,2015-03-23 16:45:59+03:00,5,355,NodeFilter.java,3085b20ba75ebb983c35fd094c8864fb8920790a,2017-07-28 17:56:47+03:00,1,30
same,GridNioDelimitedBufferTest.java,53995dcb3470de07df73d8dfd284da0dbb8df8dd,2015-05-15 03:44:27+03:00,15,1305,GridNioDelimitedBuffer.java,53995dcb3470de07df73d8dfd284da0dbb8df8dd,2015-05-15 03:44:27+03:00,15,1305
before,TestUtils.cs,5cec202cbe029ca563c112c4916b25605930ceea,2015-09-04 16:31:59+03:00,384,74656,Utils.cs,a75c2f4ff21e1aa06558282c9965ab076b512cc8,2020-05-20 11:20:17+03:00,58,2386
before,TestModel.cs,1dbb37f02ac6f927e0887263d9f67eb20284a8e1,2015-10-07 15:22:58+03:00,5,322,Model.cs,35f551c023a12b3570d65c803d10c89480f7d5e4,2020-12-08 20:07:31+03:00,18,1044
same,IgniteSinkTest.java,9a5fc056786494e748c982e0c766fa9842ba523e,2015-11-17 17:38:12+03:00,10,691,IgniteSink.java,9a5fc056786494e748c982e0c766fa9842ba523e,2015-11-17 17:38:12+03:00,10,691
same,TestEventTransformer.java,9a5fc056786494e748c982e0c766fa9842ba523e,2015-11-17 17:38:12+03:00,10,691,EventTransformer.java,9a5fc056786494e748c982e0c766fa9842ba523e,2015-11-17 17:38:12+03:00,10,691
same,GridMessageCollectionTest.java,322a85a359e0fc2c56f5c3aa38fc48a92e553289,2015-12-08 13:17:36+03:00,6,320,GridMessageCollection.java,322a85a359e0fc2c56f5c3aa38fc48a92e553289,2015-12-08 13:17:36+03:00,6,320
after,GridLogCommandHandlerTest.java,0567703827b7c8415c3e840b37e81a1ce8dbfc29,2016-01-20 11:07:09+03:00,6,342,GridLogCommandHandler.java,7016f154b20b9ba48fdb2f923d16de59fe5c7c92,2014-02-20 14:34:31+04:00,2675,775810
same,IgniteSinkConnectorTest.java,c92c274737391546b3dfe3ccbe527329c462d95f,2016-02-01 10:35:02+09:00,14,1505,IgniteSinkConnector.java,c92c274737391546b3dfe3ccbe527329c462d95f,2016-02-01 10:35:02+09:00,14,1505
same,ConfigVariationsTestSuiteBuilderTest.java,953b575f0321acd90374c2dd92b32825842999ab,2016-02-29 14:00:45+03:00,21,9107,ConfigVariationsTestSuiteBuilder.java,953b575f0321acd90374c2dd92b32825842999ab,2016-02-29 14:00:45+03:00,21,9107
same,ParametersTest.java,953b575f0321acd90374c2dd92b32825842999ab,2016-02-29 14:00:45+03:00,21,9107,Parameters.java,953b575f0321acd90374c2dd92b32825842999ab,2016-02-29 14:00:45+03:00,21,9107
same,VariationsIteratorTest.java,953b575f0321acd90374c2dd92b32825842999ab,2016-02-29 14:00:45+03:00,21,9107,VariationsIterator.java,953b575f0321acd90374c2dd92b32825842999ab,2016-02-29 14:00:45+03:00,21,9107
same,IgniteSourceConnectorTest.java,12c707c81792e20c10cece742512412a7f24dcfb,2016-03-30 17:09:33+09:00,16,1187,IgniteSourceConnector.java,12c707c81792e20c10cece742512412a7f24dcfb,2016-03-30 17:09:33+09:00,16,1187
before,LocalAffinityFunctionTest.java,96c8c246b0553e91a577ff493da46716d8e15572,2016-04-12 15:28:21+03:00,3,117,LocalAffinityFunction.java,0afd1f6f664a23a5dd688a282efcc61d75748476,2020-02-28 19:19:21+03:00,24,1264
same,TxDeadlockDetectionTest.java,0f2b7532d47230946b4991ac2211949f9b8d37b6,2016-05-04 15:27:06+03:00,34,4138,TxDeadlockDetection.java,0f2b7532d47230946b4991ac2211949f9b8d37b6,2016-05-04 15:27:06+03:00,34,4138
same,DDLGeneratorTest.java,b33eb0273236b71c1a508abc5adca9e2c54d0306,2016-05-18 16:49:48+07:00,104,16747,DDLGenerator.java,b33eb0273236b71c1a508abc5adca9e2c54d0306,2016-05-18 16:49:48+07:00,104,16747
after,PagesListTest.java,96893ae0d857f700a0f0337868adbbfa32d0cb08,2016-08-29 18:00:40+03:00,5,293,PagesList.java,8bb028754cd1d3c41768734bb7122ae3f9a9a3b0,2016-08-23 23:28:03+03:00,10,766
after,KryoSerializerTest.java,231ead01d186c75ebb48f1d19e5a95fc9c459202,2016-09-14 08:09:36+07:00,132,1162,KryoSerializer.java,b33eb0273236b71c1a508abc5adca9e2c54d0306,2016-05-18 16:49:48+07:00,104,16747
same,PageUpdateTrackingIOTest.java,329d0a2d285950d62c5f6590f86ee9a7fd71a70c,2016-10-13 21:21:25+03:00,4,142,PageUpdateTrackingIO.java,329d0a2d285950d62c5f6590f86ee9a7fd71a70c,2016-10-13 21:21:25+03:00,4,142
same,SecurityPermissionSetBuilderTest.java,40ef2f5ae42826fe8fd077e3013e8f55c8512bdd,2016-11-07 12:09:41+03:00,4,425,SecurityPermissionSetBuilder.java,40ef2f5ae42826fe8fd077e3013e8f55c8512bdd,2016-11-07 12:09:41+03:00,4,425
after,JdbcTypesDefaultTransformerTest.java,bc977d3211906ef94e1f7d3f0f988efbed65034f,2016-12-09 16:11:31+07:00,4,410,JdbcTypesDefaultTransformer.java,054b4eb9da776fb499f5914335be6e5a7157ce7c,2016-07-19 11:28:32+07:00,5,290
after,StripedExecutorTest.java,8e12513efb24cc6df1da0968560ac932544ee68d,2017-02-14 15:08:59+03:00,6,453,StripedExecutor.java,10ade2849880790a0fc05a9528ca9b0e1e4617ad,2016-12-09 12:28:50+03:00,134,6933
same,InlineIndexHelperTest.java,8f836cb0efbda3805672788be911131d46dde9b6,2017-02-16 14:25:32+03:00,29,1411,InlineIndexHelper.java,8f836cb0efbda3805672788be911131d46dde9b6,2017-02-16 14:25:32+03:00,29,1411
same,IgniteZeroMqStreamerTest.java,7492843ad9e22c91764fb8d0c3a096b8ce6c653e,2017-02-23 11:49:50+09:00,11,877,IgniteZeroMqStreamer.java,7492843ad9e22c91764fb8d0c3a096b8ce6c653e,2017-02-23 11:49:50+09:00,11,877
same,TracerTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,Tracer.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,CholeskyDecompositionTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,CholeskyDecomposition.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,EigenDecompositionTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,EigenDecomposition.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,LUDecompositionTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,LUDecomposition.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,QRDecompositionTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,QRDecomposition.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,SingularValueDecompositionTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,SingularValueDecomposition.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,CacheMatrixTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,CacheMatrix.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,DiagonalMatrixTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,DiagonalMatrix.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,SparseDistributedMatrixTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,SparseDistributedMatrix.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,TransposedMatrixViewTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,TransposedMatrixView.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,SparseDistributedMatrixStorageTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,SparseDistributedMatrixStorage.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,SparseLocalOffHeapVectorStorageTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,SparseLocalOffHeapVectorStorage.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,AbstractVectorTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,AbstractVector.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,CacheVectorTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,CacheVector.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,MatrixVectorViewTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,MatrixVectorView.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,VectorViewTest.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228,VectorView.java,acd21fb8b0d1c7f274d50d30da292c96ede7515c,2017-04-14 18:50:30+03:00,199,29228
same,RocketMQStreamerTest.java,335f24317da9f0083834bb9e34622b85d282f42b,2017-04-26 14:25:12+03:00,10,704,RocketMQStreamer.java,335f24317da9f0083834bb9e34622b85d282f42b,2017-04-26 14:25:12+03:00,10,704
before,TestUtils.java,934f6ac22c04f652815f79a9238ea72b9111a7e8,2017-05-03 20:05:18+03:00,33,3142,Utils.java,db7697b17cf6eb94754edb2b5e200655a3610dc1,2017-11-10 18:03:33+03:00,81,6652
same,AbstractMultipleLinearRegressionTest.java,934f6ac22c04f652815f79a9238ea72b9111a7e8,2017-05-03 20:05:18+03:00,33,3142,AbstractMultipleLinearRegression.java,934f6ac22c04f652815f79a9238ea72b9111a7e8,2017-05-03 20:05:18+03:00,33,3142
same,OLSMultipleLinearRegressionTest.java,934f6ac22c04f652815f79a9238ea72b9111a7e8,2017-05-03 20:05:18+03:00,33,3142,OLSMultipleLinearRegression.java,934f6ac22c04f652815f79a9238ea72b9111a7e8,2017-05-03 20:05:18+03:00,33,3142
after,PageMemoryImplTest.java,c263ccc94ded32d87ecddb28312dd69978f1f1a3,2017-05-05 13:33:28+03:00,55,11585,PageMemoryImpl.java,71f4496bf1fba8aac4e740798f5660ce13c4214e,2016-03-02 17:58:01-08:00,44,7652
after,FullPageIdTableTest.java,2e3e97141502a3e4120d46ef314f8d3ac368e050,2017-05-11 11:17:07+03:00,4,368,FullPageIdTable.java,0a1939b97fcb4197d3fbbeafc9d69ad62c2e83e7,2017-05-04 15:15:36+03:00,30,13677
same,CacheContinuousQueryEventBufferTest.java,42293fac88c29544b7c55c0340224afbf474a301,2017-05-29 16:41:23+03:00,25,2677,CacheContinuousQueryEventBuffer.java,42293fac88c29544b7c55c0340224afbf474a301,2017-05-29 16:41:23+03:00,25,2677
same,JdbcBlobTest.java,64ab5cdfe9297ed819d269166a3d1a3b489d03ec,2017-05-30 00:33:46+03:00,11,837,JdbcBlob.java,64ab5cdfe9297ed819d269166a3d1a3b489d03ec,2017-05-30 00:33:46+03:00,11,837
same,KMeansDistributedClustererTest.java,b04b58005d32debc3ae54dd3b03289fad1a590bd,2017-05-31 19:54:48+03:00,40,1893,KMeansDistributedClusterer.java,b04b58005d32debc3ae54dd3b03289fad1a590bd,2017-05-31 19:54:48+03:00,40,1893
same,KMeansLocalClustererTest.java,b04b58005d32debc3ae54dd3b03289fad1a590bd,2017-05-31 19:54:48+03:00,40,1893,KMeansLocalClusterer.java,b04b58005d32debc3ae54dd3b03289fad1a590bd,2017-05-31 19:54:48+03:00,40,1893
after,IgniteCacheFutureImplTest.java,b375c1ef504c72b9ffd653933da4bacea5aad5b5,2017-06-03 16:43:35+03:00,9,772,IgniteCacheFutureImpl.java,5269baba23e062e19981cd4c09d6f2271925fffd,2015-07-01 16:35:38+03:00,3,62
same,BlasTest.java,de259fffb7fa5c0f8f6f7eeb84b86f296fe3bde9,2017-07-25 20:19:27+03:00,33,1523,Blas.java,de259fffb7fa5c0f8f6f7eeb84b86f296fe3bde9,2017-07-25 20:19:27+03:00,33,1523
same,ColumnDecisionTreeTrainerTest.java,db7697b17cf6eb94754edb2b5e200655a3610dc1,2017-11-10 18:03:33+03:00,81,6652,ColumnDecisionTreeTrainer.java,db7697b17cf6eb94754edb2b5e200655a3610dc1,2017-11-10 18:03:33+03:00,81,6652
same,GiniSplitCalculatorTest.java,db7697b17cf6eb94754edb2b5e200655a3610dc1,2017-11-10 18:03:33+03:00,81,6652,GiniSplitCalculator.java,db7697b17cf6eb94754edb2b5e200655a3610dc1,2017-11-10 18:03:33+03:00,81,6652
same,VarianceSplitCalculatorTest.java,db7697b17cf6eb94754edb2b5e200655a3610dc1,2017-11-10 18:03:33+03:00,81,6652,VarianceSplitCalculator.java,db7697b17cf6eb94754edb2b5e200655a3610dc1,2017-11-10 18:03:33+03:00,81,6652
same,SparseDistributedVectorStorageTest.java,b0a86018693581065f789635facb88b1e8dac834,2017-11-17 16:07:51+03:00,33,4449,SparseDistributedVectorStorage.java,b0a86018693581065f789635facb88b1e8dac834,2017-11-17 16:07:51+03:00,33,4449
same,SparseBlockDistributedVectorTest.java,b0a86018693581065f789635facb88b1e8dac834,2017-11-17 16:07:51+03:00,33,4449,SparseBlockDistributedVector.java,b0a86018693581065f789635facb88b1e8dac834,2017-11-17 16:07:51+03:00,33,4449
same,SparseDistributedVectorTest.java,b0a86018693581065f789635facb88b1e8dac834,2017-11-17 16:07:51+03:00,33,4449,SparseDistributedVector.java,b0a86018693581065f789635facb88b1e8dac834,2017-11-17 16:07:51+03:00,33,4449
after,TestLogger.cs,0b849abce4514ffe949915c85b15ad6aae23ee33,2017-11-28 18:32:16+03:00,19,1037,Logger.cs,ef642e9180e4792bc7b22d57f7f88ec7d5805a84,2016-03-31 13:35:24+03:00,50,5241
same,FuzzyCMeansDistributedClustererTest.java,b13f088b210b66b4b38c260b48d6853e03f46a6c,2017-12-03 23:08:49+03:00,11,1553,FuzzyCMeansDistributedClusterer.java,b13f088b210b66b4b38c260b48d6853e03f46a6c,2017-12-03 23:08:49+03:00,11,1553
same,FuzzyCMeansLocalClustererTest.java,b13f088b210b66b4b38c260b48d6853e03f46a6c,2017-12-03 23:08:49+03:00,11,1553,FuzzyCMeansLocalClusterer.java,b13f088b210b66b4b38c260b48d6853e03f46a6c,2017-12-03 23:08:49+03:00,11,1553
same,QRDSolverTest.java,c5c512e460140c91fb77b527ff909ddbe3d1fd72,2017-12-07 18:14:51+03:00,22,1092,QRDSolver.java,c5c512e460140c91fb77b527ff909ddbe3d1fd72,2017-12-07 18:14:51+03:00,22,1092
same,OLSMultipleLinearRegressionModelTest.java,c5c512e460140c91fb77b527ff909ddbe3d1fd72,2017-12-07 18:14:51+03:00,22,1092,OLSMultipleLinearRegressionModel.java,c5c512e460140c91fb77b527ff909ddbe3d1fd72,2017-12-07 18:14:51+03:00,22,1092
same,KNNMultipleLinearRegressionTest.java,8ba773bfe580ab3e0822283e7581115242303962,2017-12-11 19:02:08+03:00,61,2912,KNNMultipleLinearRegression.java,8ba773bfe580ab3e0822283e7581115242303962,2017-12-11 19:02:08+03:00,61,2912
same,LabeledDatasetTest.java,8ba773bfe580ab3e0822283e7581115242303962,2017-12-11 19:02:08+03:00,61,2912,LabeledDataset.java,8ba773bfe580ab3e0822283e7581115242303962,2017-12-11 19:02:08+03:00,61,2912
same,SegmentedRingByteBufferTest.java,a5ffd4eb18e6e9eab30c176a7bb4008a51b3d59d,2017-12-25 18:09:16+03:00,36,3530,SegmentedRingByteBuffer.java,a5ffd4eb18e6e9eab30c176a7bb4008a51b3d59d,2017-12-25 18:09:16+03:00,36,3530
same,GridCleanerTest.java,4f739a315c7c196ddfa59acfa7777dd052bd26ff,2017-12-26 16:19:59+03:00,4,149,GridCleaner.java,4f739a315c7c196ddfa59acfa7777dd052bd26ff,2017-12-26 16:19:59+03:00,4,149
same,GradientDescentTest.java,b20608557d96b120f2b944a4aad6e07ecafb407e,2017-12-28 19:08:49+03:00,49,7429,GradientDescent.java,b20608557d96b120f2b944a4aad6e07ecafb407e,2017-12-28 19:08:49+03:00,49,7429
same,SparseDistributedMatrixMapReducerTest.java,b20608557d96b120f2b944a4aad6e07ecafb407e,2017-12-28 19:08:49+03:00,49,7429,SparseDistributedMatrixMapReducer.java,b20608557d96b120f2b944a4aad6e07ecafb407e,2017-12-28 19:08:49+03:00,49,7429
same,LinearRegressionModelTest.java,b20608557d96b120f2b944a4aad6e07ecafb407e,2017-12-28 19:08:49+03:00,49,7429,LinearRegressionModel.java,b20608557d96b120f2b944a4aad6e07ecafb407e,2017-12-28 19:08:49+03:00,49,7429
same,GroupTrainerTest.java,b0c5ef1ea273530f48a8014c004ed073be9c6d6e,2017-12-31 00:59:21+03:00,40,3225,GroupTrainer.java,b0c5ef1ea273530f48a8014c004ed073be9c6d6e,2017-12-31 00:59:21+03:00,40,3225
same,TestGroupTrainer.java,b0c5ef1ea273530f48a8014c004ed073be9c6d6e,2017-12-31 00:59:21+03:00,40,3225,GroupTrainer.java,b0c5ef1ea273530f48a8014c004ed073be9c6d6e,2017-12-31 00:59:21+03:00,40,3225
same,FileDownloaderTest.java,6f7aba8526ff01a159b289aff932324a3604c1d8,2018-01-17 13:30:12+03:00,259,20679,FileDownloader.java,6f7aba8526ff01a159b289aff932324a3604c1d8,2018-01-17 13:30:12+03:00,259,20679
after,CassandraSessionImplTest.java,6330f0bb74d6b986d040a8017f3dfbde361d5457,2018-01-21 12:50:12-08:00,5,191,CassandraSessionImpl.java,b33eb0273236b71c1a508abc5adca9e2c54d0306,2016-05-18 16:49:48+07:00,104,16747
same,ClassSetTest.java,340569b8f4e14a4cb61a9407ed2d9aa4a20bdf49,2018-01-25 12:29:47+03:00,35,1020,ClassSet.java,340569b8f4e14a4cb61a9407ed2d9aa4a20bdf49,2018-01-25 12:29:47+03:00,35,1020
same,CacheBasedDatasetBuilderTest.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965,CacheBasedDatasetBuilder.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965
same,CacheBasedDatasetTest.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965,CacheBasedDataset.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965
same,ComputeUtilsTest.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965,ComputeUtils.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965
same,DatasetAffinityFunctionWrapperTest.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965,DatasetAffinityFunctionWrapper.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965
same,PartitionDataStorageTest.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965,PartitionDataStorage.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965
same,LocalDatasetBuilderTest.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965,LocalDatasetBuilder.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965
same,DatasetWrapperTest.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965,DatasetWrapper.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965
same,NormalizationPreprocessorTest.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965,NormalizationPreprocessor.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965
same,NormalizationTrainerTest.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965,NormalizationTrainer.java,54bac750098bba32993754935e867bfbdd42ebef,2018-02-04 21:06:02+03:00,61,4965
same,LSQROnHeapTest.java,2f330a1cd1430a198ac0ddd81075ef20ff1e7316,2018-02-09 14:17:27+03:00,20,1440,LSQROnHeap.java,2f330a1cd1430a198ac0ddd81075ef20ff1e7316,2018-02-09 14:17:27+03:00,20,1440
same,LinearRegressionLSQRTrainerTest.java,2f330a1cd1430a198ac0ddd81075ef20ff1e7316,2018-02-09 14:17:27+03:00,20,1440,LinearRegressionLSQRTrainer.java,2f330a1cd1430a198ac0ddd81075ef20ff1e7316,2018-02-09 14:17:27+03:00,20,1440
same,RobinHoodBackwardShiftHashMapTest.java,1f8ec79d22305fb5a6e28c9c9fa8efa2a2e391bf,2018-03-13 16:18:54+03:00,14,2044,RobinHoodBackwardShiftHashMap.java,1f8ec79d22305fb5a6e28c9c9fa8efa2a2e391bf,2018-03-13 16:18:54+03:00,14,2044
after,ClientCacheConfigurationTest.java,ed03b931819bbb8f0ff3c22e203201c7d75cd56c,2018-03-29 13:21:36+03:00,65,7785,ClientCacheConfiguration.java,1cd95ae6216268ccdbe7bab79cf41c1e6a926fc8,2015-03-06 15:58:48-08:00,4,682
same,ClientConfigurationTest.java,ed03b931819bbb8f0ff3c22e203201c7d75cd56c,2018-03-29 13:21:36+03:00,65,7785,ClientConfiguration.java,ed03b931819bbb8f0ff3c22e203201c7d75cd56c,2018-03-29 13:21:36+03:00,65,7785
before,SecurityTest.java,ed03b931819bbb8f0ff3c22e203201c7d75cd56c,2018-03-29 13:21:36+03:00,65,7785,Security.java,ed38aa1716954e7b3b7cd4a2c861404cda6b2798,2020-10-05 14:32:20-07:00,669,66627
